,name,total_auc,ratio_750_760,ratio_760_770,ratio_770_780,ratio_780_790,ratio_790_800,ratio_800_810,ratio_810_820,ratio_820_830,ratio_830_840,ratio_840_850,ratio_850_860,ratio_860_870,ratio_870_880,ratio_880_890,ratio_890_900,ratio_900_910,ratio_910_920,ratio_920_930,ratio_930_940,ratio_940_950,ratio_950_960,ratio_960_970,ratio_970_980,ratio_980_990,ratio_990_1000,ratio_1000_1010,ratio_1010_1020,ratio_1020_1030,ratio_1030_1040,ratio_1040_1050,ratio_1050_1060,ratio_1060_1070,ratio_1070_1080,ratio_1080_1090,ratio_1090_1100,ratio_1100_1110,ratio_1110_1120,ratio_1120_1130,ratio_1130_1140,ratio_1140_1150,ratio_1150_1160,ratio_1160_1170,ratio_1170_1180,ratio_1180_1190,ratio_1190_1200,ratio_1200_1210,ratio_1210_1220,ratio_1220_1230,ratio_1230_1240,ratio_1240_1250,ratio_1250_1260,ratio_1260_1270,ratio_1270_1280,ratio_1280_1290,ratio_1290_1300,ratio_1300_1310,ratio_1310_1320,ratio_1320_1330,ratio_1330_1340,ratio_1340_1350,ratio_1350_1360,ratio_1360_1370,ratio_1370_1380,ratio_1380_1390,ratio_1390_1400,ratio_1400_1410,ratio_1410_1420,ratio_1420_1430,ratio_1430_1440,ratio_1440_1450,ratio_1450_1460,ratio_1460_1470,ratio_1470_1480,ratio_1480_1490,ratio_1490_1500
0,burundi magamba 1.CSV,135.12255147029336,0.004776778830177945,0.004862833161667768,0.004435347393606186,0.004567510528132481,0.0045187833085862635,0.00483304781043706,0.004539911072641211,0.0038813962297707095,0.003674560413358947,0.00384377614431114,0.003850591228674071,0.004437012852951188,0.00458609525143383,0.0043268177715473375,0.0041569049486350545,0.004422601530332008,0.00466220143089383,0.004688670681291888,0.0051988754215255995,0.005365611501139157,0.005638830702570458,0.005755921872377766,0.006829431892795692,0.007971469349501253,0.008555759938212247,0.00825335540790751,0.008820496577896306,0.008995082891977679,0.008757196248204159,0.00799030553104668,0.008116650154011681,0.007580502360670246,0.00712745778707461,0.006414859104014019,0.0063994312372578676,0.005880225617389632,0.005539436057787711,0.004853724894908972,0.005132143017457001,0.005558553866646389,0.005421162928659717,0.004614863707596725,0.004091721252403093,0.0033301298228590346,0.0028568301913258743,0.002693368432784659,0.002922294883270461,0.0030707245657167026,0.003169818902419768,0.003440280049605359,0.003393874780129672,0.0032526696142902486,0.002914543317646473,0.002884959137363973,0.002805566043696457,0.0029052041205509475,0.0027258781048647034,0.002803725994998506,0.002775301081142687,0.002833001530702161,0.002858991516355725,0.0032882318682029813,0.0034419714679571746,0.0031263671690446413,0.002721822845150657,0.0027394987707037876,0.002812758081596366,0.0027460302398258033,0.0026461218587496608,0.002781760763529232,0.002900553901796623,0.0026402964943167745,0.0016565361563769894,0.0014208473664924887,0.0013850942601838943
1,burundi magamba 2.CSV,134.62541947292453,0.005192756365940253,0.005281522344709495,0.00478567342441519,0.004880476563175851,0.004769925706575241,0.005067202435887665,0.0047750825675776905,0.003956884299886585,0.0035420360793779328,0.0036118650059544853,0.0036206992759465033,0.004247337465244206,0.0044526082319340885,0.004105465325299904,0.0038738066456059476,0.004013236425261328,0.004164116839399752,0.004268759252482787,0.004881571139324101,0.0051288354378069,0.005358870503642704,0.005445350848801603,0.006515499743089861,0.007922149075095909,0.00881723259660765,0.008599007457482294,0.009154334852805675,0.009253590379721545,0.008946053326357875,0.008089563036192838,0.008368140255995825,0.007865506126164752,0.007370420128378149,0.006487858600044852,0.0062346666098032225,0.005626892152075989,0.005290174788044056,0.0046195706933705016,0.004716891593153278,0.00498140100609817,0.0046741698399810246,0.0038462606968410916,0.003302193971958353,0.0026736290560622025,0.0022813087193645065,0.0022373116311415445,0.0025064627425628178,0.0026526687164814414,0.002795369166761835,0.0031060754018318454,0.0031187426218225716,0.002984560309171506,0.00266482791503781,0.002654267530042864,0.002640276902990616,0.002799142059368243,0.002642618368224596,0.002697455885717746,0.0026419432629055523,0.002653984344499634,0.002691291955469866,0.0031966284921560065,0.0033693383802477442,0.003090043723555711,0.0027189713457139095,0.002795050646938059,0.002827183310591891,0.0027512558435755885,0.0025760239612735132,0.0026063146592175583,0.0025590687013443423,0.0022144547644087843,0.0015812515155610748,0.0014136219421091631,0.0014304489841719006
2,burundi murambi 1 (1).CSV,311.7684860806231,0.004984397270541491,0.0051221851287521535,0.00455767992809594,0.004640477629007636,0.00453049100973753,0.004842843948002916,0.004572921338184145,0.0037246665138567555,0.003300657099747334,0.0033664369682640696,0.0034013628470391725,0.0039958495931581356,0.004125292846617442,0.003801345403793337,0.003568326153214397,0.0037654910900589648,0.004011968349973856,0.004103268290723484,0.004698262639379577,0.004958577737585288,0.0052158229178886914,0.005437875669812365,0.006794455184254359,0.008490502371507731,0.009533276590995324,0.009339476047016992,0.010101373838587308,0.0105168552281069,0.010334966250747927,0.009413434365347962,0.009637696859428233,0.008973559626263195,0.008259408558543757,0.007098014875737533,0.006816440347995843,0.006254419550569786,0.005904387803477373,0.005125285773394415,0.005122901992548061,0.005280410864819843,0.0050626531961103765,0.004241370492699079,0.0037784453360383244,0.0031836434032800347,0.002757123240312816,0.0026440762609362847,0.002906671149734021,0.00305836679756475,0.00324637916380232,0.0035942739006062496,0.0036178869587732087,0.003508068634374606,0.003159467567027593,0.0031499962575226065,0.002989581192595611,0.0030473059761807497,0.0028728323354323773,0.002949259619529963,0.0028911695991854975,0.0029258120679034245,0.003009645601116202,0.0035689957623847948,0.0037552122811149507,0.0035111518379216,0.003096094256454349,0.003149030083519507,0.003107411819727053,0.0029672018377507707,0.002764287473844868,0.002831261849319952,0.0027410909836558753,0.0024183812709620304,0.0017066930691142395,0.0015277032489569892,0.0015758573975094654
3,burundi murambi 1.CSV,311.7684860806231,0.004984397270541491,0.0051221851287521535,0.00455767992809594,0.004640477629007636,0.00453049100973753,0.004842843948002916,0.004572921338184145,0.0037246665138567555,0.003300657099747334,0.0033664369682640696,0.0034013628470391725,0.0039958495931581356,0.004125292846617442,0.003801345403793337,0.003568326153214397,0.0037654910900589648,0.004011968349973856,0.004103268290723484,0.004698262639379577,0.004958577737585288,0.0052158229178886914,0.005437875669812365,0.006794455184254359,0.008490502371507731,0.009533276590995324,0.009339476047016992,0.010101373838587308,0.0105168552281069,0.010334966250747927,0.009413434365347962,0.009637696859428233,0.008973559626263195,0.008259408558543757,0.007098014875737533,0.006816440347995843,0.006254419550569786,0.005904387803477373,0.005125285773394415,0.005122901992548061,0.005280410864819843,0.0050626531961103765,0.004241370492699079,0.0037784453360383244,0.0031836434032800347,0.002757123240312816,0.0026440762609362847,0.002906671149734021,0.00305836679756475,0.00324637916380232,0.0035942739006062496,0.0036178869587732087,0.003508068634374606,0.003159467567027593,0.0031499962575226065,0.002989581192595611,0.0030473059761807497,0.0028728323354323773,0.002949259619529963,0.0028911695991854975,0.0029258120679034245,0.003009645601116202,0.0035689957623847948,0.0037552122811149507,0.0035111518379216,0.003096094256454349,0.003149030083519507,0.003107411819727053,0.0029672018377507707,0.002764287473844868,0.002831261849319952,0.0027410909836558753,0.0024183812709620304,0.0017066930691142395,0.0015277032489569892,0.0015758573975094654
4,burundi murambi 2 (1).CSV,197.60779491294215,0.00502221482014568,0.0051441345894435225,0.004632390038814202,0.004755041265597199,0.004655021615679389,0.004892901413583668,0.004563578887608855,0.003846823791283462,0.0035066163639715384,0.003602101333102297,0.0036358804025402396,0.00420424800810423,0.00428972346066434,0.004014967648060582,0.0038155235763800426,0.004077173649265926,0.004369691926387589,0.0044294910799728485,0.004986746291412294,0.005211741945581714,0.005455168081205798,0.005643957560890232,0.006934062055758607,0.008397318887638793,0.009095917954243454,0.00870090585049244,0.009265398068407007,0.009501321873717406,0.009377419930535993,0.008597485782037305,0.008813817389171802,0.00824923306773455,0.0076063873004729825,0.006503848884311081,0.006259780893540964,0.005854538754708752,0.005534493546645205,0.004833587510734956,0.004771580349315934,0.004710321076991571,0.004417533526250879,0.003649444892126326,0.003257572132252984,0.0028201517431021205,0.002502746858747562,0.0024811845401549086,0.002757175655237364,0.0029150896691786422,0.0031042676820229936,0.003456690784842773,0.0035266518910188785,0.003447528045079219,0.003117207708228394,0.003127846486678437,0.0030066207609059205,0.0031055477659650923,0.002963189277599208,0.0030614204602803226,0.0030135113823684303,0.0030380881092787956,0.0030955276241771746,0.003644079480025347,0.003799744570417996,0.003615872488288268,0.0032532706599498022,0.0033408778541650416,0.0032782994350822573,0.003122254134931132,0.002839700612094399,0.0028294478725549256,0.0026558613874448867,0.0022886627190145483,0.0017957221441286086,0.0016770110597814443,0.001752955992486704
5,Ethiopia Genet 1.CSV,172.0136779219187,0.005448982681878644,0.005589733937077875,0.005040136048473146,0.005114007026611395,0.005001417623817388,0.005379343043861232,0.005112874033895222,0.00406789417211345,0.0035992228769938257,0.003722547003131758,0.0038157071898451606,0.004611996199480256,0.004830012890236097,0.004475140916235924,0.004194802088446834,0.004332709339480218,0.004465014443666384,0.004559865115622039,0.005371428281806155,0.005782188632647972,0.006103520316611992,0.006230900451056373,0.007340677636971347,0.008667525282167734,0.009665901923363264,0.00968160495543621,0.010471450372718096,0.010666628542108486,0.010308660841790543,0.009322179160311774,0.009657637200605,0.009168603278054476,0.008619206481723153,0.007687823928264814,0.007510002835419924,0.00676364992227192,0.006301057516495061,0.0054409020151570476,0.005621619901135646,0.0061753605908438135,0.006105470142041574,0.005298175407826963,0.004650773432823825,0.0037483882069087996,0.003201621211776474,0.00301450700484641,0.0032722034955587173,0.0034418370529544543,0.003595907296144124,0.003925084248572303,0.0038735372946941495,0.003716709162464239,0.0033681479267932296,0.0033977565936773447,0.0032865961539427233,0.0033513917591099372,0.0031319034605401565,0.003150866309520615,0.003073692856125607,0.0031269592821758494,0.003208316095709168,0.00378341224376057,0.003987124119926172,0.0035837779150997505,0.003078625658559126,0.0031055191313147357,0.0031436046808841515,0.0030424495236501844,0.002924312911604146,0.003074215086328537,0.0031077314031111546,0.0028308292912135893,0.0016713609496308045,0.0013396891936689728,0.0013034057329851846
6,Ethiopia genet 2.CSV,224.91058689427427,0.0052317423447825594,0.005364187933748318,0.00482813455165742,0.004888199040507979,0.00477676807652743,0.005099766029863693,0.004841400526893358,0.003940954550068103,0.0035271241899473235,0.0036274158716887656,0.0036757047948803834,0.0043513247051467155,0.004534895040081042,0.004232299175890612,0.003973485560049719,0.004133022490102041,0.004278359961920606,0.004339729088447127,0.0050568209455153345,0.0054223417823888904,0.0057365024824867095,0.005882445309311286,0.006980963465195421,0.00826866808993797,0.00919940387990558,0.009174733357179957,0.009962597216922242,0.01023378912948064,0.009946946428385142,0.00903728765887476,0.009329079200175845,0.008833874539711888,0.008302600163483373,0.00738682079949058,0.007238763885656246,0.006575742846187841,0.006166989045659568,0.005334387029297557,0.0055350382663169025,0.006033246559319245,0.005957519055020186,0.005155165920407247,0.00454701622768712,0.0037062625530159057,0.0031850978777354703,0.0029943950746752893,0.003232091026113769,0.003384676968743687,0.0035251536035698764,0.0038319999291381427,0.0037856028593712863,0.0036496658110499658,0.003312425639290122,0.0033251403596564664,0.0031911283102290956,0.003245157377656665,0.003030657618579498,0.0030592418153940044,0.002998160040482438,0.003066513085475075,0.0031433916495052267,0.003688269774949782,0.003883049213171681,0.003512646713883829,0.0030353598879871986,0.003062006265472471,0.0030814110240655235,0.0029816908518644995,0.0028627371899075274,0.0030152986362527593,0.003051852091439318,0.0027802614667963603,0.0016769395096707925,0.0013705111459787799,0.0013440236272234988
7,Guatemala #2  1.CSV,104.35772550773136,0.005521394072643419,0.00569878443542719,0.005051218408457754,0.005064384281968664,0.004937740253354552,0.005413852513433559,0.0051352103987614755,0.0038158777674673983,0.0032740050527754723,0.003448461222048348,0.00360589636287315,0.004480002613769598,0.0047647877303421396,0.004393412523022179,0.004135504351342114,0.004253791869868467,0.00439517763490085,0.004622969709056938,0.005585005833718199,0.006129383499400442,0.0066124352334491696,0.006845952284358934,0.008238928761278443,0.009934991582435654,0.011315038232804556,0.011547012285294853,0.012638598479537999,0.013010956415875739,0.012557250411368638,0.011318904553552351,0.011713820924081375,0.011081504776870338,0.010345248453533372,0.009098011500243232,0.008749948162616462,0.007817191672051345,0.007258112239184474,0.006161667748687315,0.0062946123023458166,0.0070127998232472535,0.0069881930642488954,0.005997022933113539,0.0051090554591469535,0.00391780925212566,0.0032367983083552514,0.0030571027977434103,0.0033698307257900174,0.003651840724327724,0.00394704123124069,0.004333338739968826,0.004238476519024915,0.0040281232272655985,0.0035681932560517617,0.0035417963589932924,0.003392164396388615,0.003475375261483429,0.0032363869047023516,0.003215537650014587,0.0031451281196327274,0.0032499360196776832,0.003418206096685582,0.004132653483171148,0.004403879468558932,0.0039372292673151765,0.0033231818649315007,0.0032894721617886397,0.003284952376752487,0.003149803539403194,0.003013814345888541,0.0031818657523467846,0.003242279293914036,0.002933103469125177,0.0015181409724681196,0.0010059496943495263,0.0010309551367303784
8,Guatemala #2 2.CSV,185.74867202751057,0.005228355903173531,0.0053279033809417245,0.004735269438242508,0.004762392210912813,0.004657329992308813,0.0050528227544766584,0.004798148063987636,0.003795211216374778,0.0033674257624368405,0.0035012049342524492,0.003595561265610938,0.004354520364938488,0.004548012724232255,0.004209884248665365,0.00398375091074818,0.004168434008183154,0.004388795623152642,0.004589325986730725,0.005395413351990807,0.005783195699353086,0.006143051010790321,0.006320321545049365,0.007638761715693214,0.00916450903840037,0.0101833147844265,0.010113352483373726,0.010927985804000659,0.011186662235164803,0.010828631251239926,0.00986916057193867,0.01017786451673288,0.009573293076237173,0.008961608502196435,0.007960248457540392,0.007805171994514308,0.007055454779096384,0.006616141113783419,0.005704452433520927,0.006002951857321259,0.006687964882610038,0.006653639492924875,0.005766673083004367,0.005002263950656021,0.003939381340500048,0.0033384144030677286,0.0031136659098973955,0.0034005662465460378,0.003631734515530565,0.0038355885721655394,0.004151569820713169,0.004012063098950146,0.0038106428262504924,0.0033979404429691413,0.0033735827699695343,0.0032358390502128984,0.0032906064347317486,0.0030804101887961805,0.0030952815622024552,0.003041260990385176,0.003135798471482731,0.0032439527945815213,0.0038412737732225594,0.004092121321644352,0.003673156714003323,0.003126255346551874,0.003103622538938273,0.0031575910661831067,0.0030357940250051374,0.002975254023212168,0.003198365106806493,0.0033537718526145187,0.003096234537101342,0.0016607186262705507,0.0012160243147069203,0.0012239615926299592
